アンケート情報,,,,,,,,Q1,Q2,Q3,Q4,,Q5,,,,,,,,,,,,,,,,,,Q6,Q7,Q8,,Q9,,Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11,Q12,,,,,,,,,,,,,,,,,,,,,,Q13,,,,,,,,,,,,,,,,,,Q14,Q15,Q16,,Q17,,,,,,,,,,Q18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19,Q20
id,QRコード読取日時,アンケート回答日時,言語,会員ID,県,エリア,業種,生まれ年,性別,国籍,世帯年収(金額),世帯年収(通貨),訪日目的ALL,観光・レジャー,家族・知人訪問,ハネムーン,学校関係の旅行,スポーツ・スポーツ観戦,イベント,留学,治療・検診,インセンティブツアー,ビジネス（展示会・見本市）,ビジネス（国際会議）,ビジネス（企業ミーティング）,ビジネス（研修）,ビジネス（その他ビジネス）,トランジット,日本国内在住,その他,同伴者,滞在日数,"旅の総予算(金額)","旅の総予算(通貨)","宿泊予算(金額)","宿泊予算(通貨)",旅行情報元ALL,日本政府観光局(JNTO)ホームページ,旅行会社ホームページ,宿泊施設ホームページ,航空会社ホームページ,地方観光協会ホームページ,"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)",口コミサイト（Tripadvisor等）,"Google Mapなどの地図アプリやサイトでの検索",Instagram,"X (Twitter)",Facebook,YouTube,その他SNS,個人のブログ,その他インターネットサイト（検索サイトを除く）,日本政府観光局の案内所,旅行会社パンフレット,旅行ガイドブック,自国の親戚・知人,日本在住の親族・知人,旅行の展示会や見本市,テレビ番組,新聞,旅行専門誌,その他雑誌,その他,特になし,訪日回数,訪問目的(県)ALL,日本食を食べること,日本の酒を飲むこと（日本酒・焼酎等）,旅館に宿泊,温泉入浴,自然・景勝地観光,繁華街の街歩き,ショッピング,美術館・博物館・動植物園・水族館,テーマパーク,スキー・スノーボード,その他スポーツ（ゴルフ等）,舞台・音楽鑑賞,スポーツ観戦（相撲・サッカー等）,自然体験ツアー・農山漁村体験,四季の体感（花見・紅葉・雪等）,映画・アニメ縁の地を訪問,日本の歴史・伝統文化体験,日本の日常生活体験,日本のポップカルチャーを楽しむ,治療・検診,上記には当てはまるものがない,訪問目的(施設)ALL,行きたい観光スポットがあったから,景観・自然・気候を楽しみたいから,行きたいお店・ここでしか購入できないものがあるから,泊まりたいホテル・旅館があるから,温泉を楽しみたいから,地域の食事や特産品を味わいたい（or買いたい）から,ドライブ・ツーリングを楽しみたいから,写真を撮影したいから,日常を離れ、バカンスを楽しみたいから,費用が手頃だから,以前に訪問し気に入ったから,友人・知人に勧められたから,テレビ・雑誌・インターネットで紹介されていたから,同行者が訪問したがったから,ツアーに組み込まれていたから,出張など用事があったため,その他,満足度(施設),満足度の理由(施設),一人当たりの消費額(施設)(金額),一人当たりの消費額(施設)(通貨),交通手段(施設)ALL,レンタカー,借上バス,路線バス,タクシー,ハイヤー,自転車,鉄道,徒歩,その他,認知経路(施設)ALL,日本政府観光局(JNTO)ホームページ,旅行会社ホームページ,宿泊施設ホームページ,航空会社ホームページ,地方観光協会ホームページ,"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)",口コミサイト（Tripadvisor等）,"Google Mapなどの地図アプリやサイトでの検索",Instagram,"X (Twitter)",Facebook,YouTube,その他SNS,個人のブログ,その他インターネットサイト（検索サイトを除く）,日本政府観光局の案内所,旅行会社パンフレット,旅行ガイドブック,自国の親戚・知人,日本在住の親族・知人,旅行の展示会や見本市,テレビ番組,新聞,旅行専門誌,その他雑誌,その他,特になし,家族・知人への推奨度(施設),推奨度の理由(旅行)
888,"2024-12-08 09:47:13","2024-12-08 09:54:58",繁体,970,石川県,金沢,その他,2000,女,"台湾 ",6000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,家族・親族（大人）,15,2000,ドル/アメリカ　$(USD),600,ドル/アメリカ　$(USD),"日本政府観光局(JNTO)ホームページ
地方観光協会ホームページ
YouTube
",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"自然・景勝地観光
美術館・博物館・動植物園・水族館
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
景観・自然・気候を楽しみたいから
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,交通方便又美麗很有日本文化,500,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,0,"旅行会社ホームページ
YouTube
",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,很幸福
889,"2024-12-08 09:55:08","2024-12-08 09:57:48",繁体,971,石川県,金沢,その他,1967,女,"台湾 ",6000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,家族・親族（大人）,15,6000,ドル/アメリカ　$(USD),600,ドル/アメリカ　$(USD),"地方観光協会ホームページ
Google Mapなどの地図アプリやサイトでの検索
Instagram
YouTube
",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"日本食を食べること
自然・景勝地観光
ショッピング
四季の体感（花見・紅葉・雪等）
日本の歴史・伝統文化体験
日本の日常生活体験
",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"行きたい観光スポットがあったから
費用が手頃だから
",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,大変満足,有日本文化氣息,500,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,0,"Instagram
YouTube
",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,很棒
890,"2024-12-08 10:20:51","2024-12-08 10:24:30",英語,972,石川県,金沢,体験・観光施設,1991,女,その他,250000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,31,5000,ドル/アメリカ　$(USD),5000,ドル/アメリカ　$(USD),"旅行会社ホームページ
宿泊施設ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
口コミサイト（Tripadvisor等）
Google Mapなどの地図アプリやサイトでの検索
Instagram
Facebook
その他インターネットサイト（検索サイトを除く）
旅行ガイドブック
自国の親戚・知人
日本在住の親族・知人
",0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,"日本食を食べること
旅館に宿泊
温泉入浴
自然・景勝地観光
繁華街の街歩き
ショッピング
美術館・博物館・動植物園・水族館
自然体験ツアー・農山漁村体験
四季の体感（花見・紅葉・雪等）
日本の歴史・伝統文化体験
日本の日常生活体験
",1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,"行きたい観光スポットがあったから
景観・自然・気候を楽しみたいから
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,3000,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,0,"Instagram
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
892,"2024-12-08 10:27:19","2024-12-08 10:30:11",英語,974,石川県,金沢,体験・観光施設,1994,女,イタリア,17000,ユーロ/欧州連合　&euro;(XEU),"ハネムーン
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,8,1000,ユーロ/欧州連合　&euro;(XEU),2000,ユーロ/欧州連合　&euro;(XEU),"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
Instagram
",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
美術館・博物館・動植物園・水族館
テーマパーク
日本の日常生活体験
",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,満足,,1000,円/日本　￥(JPY),"タクシー
",0,0,0,1,0,0,0,0,0,"旅行会社ホームページ
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
891,"2024-12-08 10:27:18","2024-12-08 10:30:18",英語,973,石川県,金沢,体験・観光施設,1986,男,イタリア,52000,ユーロ/欧州連合　&euro;(XEU),"ハネムーン
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,8,1000,ユーロ/欧州連合　&euro;(XEU),3000,ユーロ/欧州連合　&euro;(XEU),"Google Mapなどの地図アプリやサイトでの検索
Instagram
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
旅館に宿泊
ショッピング
美術館・博物館・動植物園・水族館
テーマパーク
日本の歴史・伝統文化体験
日本の日常生活体験
",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,100,ユーロ/欧州連合　&euro;(XEU),"タクシー
",0,0,0,1,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
893,"2024-12-08 10:44:40","2024-12-08 10:47:25",英語,975,石川県,金沢,体験・観光施設,1998,男,その他,5000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,恋人,15,2500,ドル/アメリカ　$(USD),2500,ドル/アメリカ　$(USD),"地方観光協会ホームページ
Instagram
",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
ショッピング
映画・アニメ縁の地を訪問
",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"地域の食事や特産品を味わいたい（or買いたい）から
ドライブ・ツーリングを楽しみたいから
写真を撮影したいから
",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,満足,,550,ドル/アメリカ　$(USD),"路線バス
",0,0,1,0,0,0,0,0,0,"旅行会社ホームページ
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
894,"2024-12-08 10:45:46","2024-12-08 10:48:01",英語,976,石川県,金沢,体験・観光施設,2002,女,"米国 ",100000,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,15,5000,ドル/カナダ　Can$(CAD),2000,ドル/カナダ　Can$(CAD),"Google Mapなどの地図アプリやサイトでの検索
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
温泉入浴
テーマパーク
スキー・スノーボード
",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"景観・自然・気候を楽しみたいから
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,500,円/日本　￥(JPY),"鉄道
",0,0,0,0,0,0,1,0,0,"Google Mapなどの地図アプリやサイトでの検索
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
895,"2024-12-08 11:07:53","2024-12-08 11:28:40",英語,977,石川県,金沢,体験・観光施設,1987,男,オーストラリア,200000,ドル/オーストラリア　A$(AUD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,14,2500,ドル/オーストラリア　A$(AUD),1,ドル/オーストラリア　A$(AUD),"地方観光協会ホームページ
口コミサイト（Tripadvisor等）
Google Mapなどの地図アプリやサイトでの検索
Instagram
自国の親戚・知人
",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"日本食を食べること
温泉入浴
日本の歴史・伝統文化体験
",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"行きたい観光スポットがあったから
費用が手頃だから
",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,満足,,1,ドル/アメリカ　$(USD),"タクシー
",0,0,0,1,0,0,0,0,0,"地方観光協会ホームページ
Google Mapなどの地図アプリやサイトでの検索
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
896,"2024-12-08 11:28:22","2024-12-08 11:30:55",英語,979,石川県,金沢,体験・観光施設,1986,男,英国,11000,ポンド/イギリス　&pound;(GBP),"観光・レジャー
ビジネス（その他ビジネス）
",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,配偶者・パートナー,25,6000,ポンド/イギリス　&pound;(GBP),1200,ポンド/イギリス　&pound;(GBP),"口コミサイト（Tripadvisor等）
YouTube
",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"日本食を食べること
自然・景勝地観光
繁華街の街歩き
",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,10,ポンド/イギリス　&pound;(GBP),"徒歩
",0,0,0,0,0,0,0,1,0,"口コミサイト（Tripadvisor等）
Google Mapなどの地図アプリやサイトでの検索
",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
897,"2024-12-08 11:44:46","2024-12-08 11:48:52",英語,980,石川県,金沢,体験・観光施設,1993,女,ドイツ,60000,ユーロ/欧州連合　&euro;(XEU),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,17,2000,ユーロ/欧州連合　&euro;(XEU),1000,ユーロ/欧州連合　&euro;(XEU),"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Instagram
YouTube
旅行ガイドブック
自国の親戚・知人
",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"繁華街の街歩き
日本の歴史・伝統文化体験
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,満足,,550,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,0,"Google Mapなどの地図アプリやサイトでの検索
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
